;marka;ocena;ocena_K;ocena_M;sredni_wiek;sredni_wiek_K;sredni_wiek_M;dni_po_zakupie;dni_po_zakupie_K;dni_po_zakupie_M
0;Beko;2.4782608695652173;2.0;2.5121951219512195;38.80487804878049;41.5;38.22222222222222;7.108695652173913;6.75;7.2439024390243905
1;Dyson;2.467741935483871;1.5;2.516949152542373;42.06896551724138;30.666666666666668;42.69090909090909;7.629032258064516;8.0;7.610169491525424
2;Electrolux;2.36734693877551;2.7083333333333335;2.3197674418604652;39.726190476190474;38.45454545454545;39.917808219178085;7.173469387755102;8.0;7.058139534883721
3;Samsung;2.3006535947712417;1.9285714285714286;2.338129496402878;41.67391304347826;44.0;41.41129032258065;6.934640522875817;8.428571428571429;6.784172661870503
4;Tefal;2.3617021276595747;2.7142857142857144;2.3333333333333335;39.49382716049383;37.5;39.653333333333336;6.6063829787234045;7.0;6.574712643678161
